,url,title,total_score,text,price,category,aspects
0,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"anh chị chủ siêu nhiệt tình luôn á, giao xe tận nơi hỗ trợ tụi tui hết mình. lúc lấy xe trời mưa người ac cho tụi tui áo mưa nữa mà giá rẻ nữa cảm động quớ",,rent,"{'SERVICE#STAFF': 'POSITIVE', 'SERVICE#RENTING': 'POSITIVE', 'VEHICLE#QUALITY': 'NEUTRAL', 'PRICE': 'POSITIVE'}"
1,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"chiu chủ nhiệt tình, dễ thương . giá rẻ giao xe tận nơi lấy xe tận nơi. chị cho luôn áo mưa.",,rent,"{'SERVICE#STAFF': 'POSITIVE', 'PRICE': 'POSITIVE', 'SERVICE#RENTING': 'POSITIVE', 'VEHICLE#QUALITY': 'NEUTRAL'}"
2,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,trải nghiệm tệ. họ tính chúng tôi 50k và đưa cho chúng tôi bình xăng rỗng. thái độ rất tệ. họ nói bạn có thể lấy xăng ra những kẻ lừa đảo giỏi nhất trong thị trấn.,,rent,"{'PRICE': 'NEUTRAL', 'VEHICLE#QUALITY': 'NEGATIVE', 'SERVICE#STAFF': 'NEGATIVE'}"
3,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,những người rất thô lỗ.,,rent,{}
4,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"thật thô lỗ. họ đưa cho chúng tôi một bình xăng rỗng và tính thêm 50 nghìn đô la, mặc dù chúng tôi thậm chí còn đưa cho họ một bình xăng đầy.",,rent,"{'PRICE': 'NEUTRAL', 'VEHICLE#QUALITY': 'NEGATIVE'}"
5,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,xé người và giao xe máy hết xăng và thái độ của chủ xe rất thô lỗ. không khuyến khích lắm,,rent,"{'SERVICE#STAFF': 'NEGATIVE', 'SERVICE#RENTING': 'NEUTRAL', 'VEHICLE#QUALITY': 'NEGATIVE'}"
6,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"giá thuê rẻ, xe mới, giao xe nhanh chóng, phục vụ tốt, cô chủ nhiệt tình. sẽ ủng hộ nhiều lần nữa . giờ t",,rent,"{'PRICE': 'POSITIVE', 'SERVICE#STAFF': 'POSITIVE', 'SERVICE#RENTING': 'POSITIVE', 'VEHICLE#QUALITY': 'POSITIVE'}"
7,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"toàn xe đời mới, ac nhiệt tình, giá tốt nhé mọi người",,rent,"{'SERVICE#STAFF': 'POSITIVE', 'SERVICE#RENTING': 'POSITIVE', 'VEHICLE#QUALITY': 'POSITIVE'}"
8,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,xe máy mới chị chủ xe vui tính luôn ủng hộ.,,rent,"{'SERVICE#STAFF': 'POSITIVE', 'VEHICLE#QUALITY': 'POSITIVE'}"
9,https://www.google.com/maps/search/?api=1&query=Thu%C3%AA%20xe%20m%C3%A1y%20gi%C3%A1%20r%E1%BA%BB%20Duy%20My&query_place_id=ChIJGR7tYpFgkQwRJDl74akUibA,thuê xe máy giá rẻ duy my,4.6,"giao xe tận nơi, giá cã hợp lý ạ.",,rent,"{'PRICE': 'POSITIVE', 'SERVICE#RENTING': 'POSITIVE', 'VEHICLE#QUALITY': 'NEUTRAL'}"
