,url,title,total_score,text,price
0,https://www.google.com/maps/search/?api=1&query=tagspace.dalat&query_place_id=ChIJuRBbYgATcTERDM18R8aJ8RE,tagspace.dalat,4.8,"Cách trung tâm TP Dalat 1,2 km, dễ dàng di chuyển theo chỉ dẫn của Google Maps. . Không gian:. Tiệm nhỏ xinh với không gian thoáng đãng, vật dụng nội thất sạch sẽ, tinh giản, hiện đại, ấm áp & gần gũi.. Từng góc nhỏ được tiệm bày trí gọn gàng xinh xắn.. Trong khu vực còn cho thuê Home đầy đủ tiện nghi, tới tiệm hỏi các bé nhân viên mình mới biết có home chứ home ko quảng cáo lun <3. . Chất lượng đồ uống:. - Bánh: tiệm chưa bán bánh, chỉ làm đúng hôm khai trương :( mong là tiệm có thời gian để kiêm lun mảng này lâu dài <3. - Cafe/trà: là tiệm mình đánh giá là khá đầu tư vàn chất lượng đồ uống chứ không quá chú trọng vào không gian bắt trend/sống ảo... :) (ý kiến cá nhân, mong ko ném đá). Trà dùng code khá xịn nha <3... 10 điểm <3. . Giá thành:. Rẻ so với chất lượng nhận được và so với mặt bằng giá chung tại Dalat. . Dịch vụ:. Nhân viên thân thiện, dễ mến, niềm nở với khách.. Hướng dẫn rất lịch sự, phục vụ nhanh chóng, cẩn thận và quan trọng: SẠCH SẼ!. . Rất nên đến <3",1-100.000 ₫
1,https://www.google.com/maps/search/?api=1&query=101%20Caf%C3%A9%20%26%20Music&query_place_id=ChIJx7-B9PBtcTERi1FbwZsHDsk,101 café & music,5.0,"Quán siêu xinh, nước uống ngon (đặc biệt là món trà chanh), anh chị chủ siêu nhiệt tình, dễ thương. 🥰🥰😘 . Sẽ đến quán dài dài trong thời gian tiếp theo.. Luv 😘😘😉🥰🥰",1-100.000 ₫
2,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%E1%BB%A7a%20Th%E1%BB%9Di%20Thanh%20Xu%C3%A2n&query_place_id=ChIJw6D__a8TcTERqUhnflvGR7s,quán của thời thanh xuân,4.9,"Quán của thời Thanh Xuân. 1 quán caffe mộc mạc, yên bình với rất nhiều những hoạt động workshop thú vị. Như học thủ ngữ cùng các bạn điếc. Học mix tinh dầu tạo ra mùi hương nước hoa riêng của mình và trải nghiệm tham quan mô hình nông trại của Nhà và Quán",1-100.000 ₫
3,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%E1%BB%A7a%20Th%E1%BB%9Di%20Thanh%20Xu%C3%A2n&query_place_id=ChIJw6D__a8TcTERqUhnflvGR7s,quán của thời thanh xuân,4.9,Quán bình yên cực.Nước ngon.Siêu mát mẻ luôn í.Đến quán mình cảm thấy được sự bình yên.Siêu yên tĩnh luôn í ạ. các bạn nên ghé nhé,1-100.000 ₫
4,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Cà phê rất tuyệt và không quá đắt (40 k) và bánh tiramisu cũng rất ngon :) Nhân viên cũng rất ngon.,1-100.000 ₫
5,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Quán cà phê nhỏ xinh mà chủ yếu cung cấp các loại cà phê và trà khác nhau và một loại bánh nhỏ. Chỉ có bánh Tiramisu có sẵn, thật tuyệt. Họ cũng bán một số hạt cà phê địa phương, nếu bạn đang muốn mang về nhà.",1-100.000 ₫
6,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Cà phê SUPERB nhưng ghế không thoải mái. Quán cà phê nhỏ và chỉ có một vài chỗ ngồi. Có một cái bàn lớn mà chúng tôi phải chia sẻ với một cô gái liên tục đánh hơi (không phải lỗi quán cà phê) nhưng đó là RẤT NHIỀU! Những chiếc ghế khác có sẵn là những chiếc ghế gỗ cao làm cho lưng và lưng của chúng tôi bị tổn thương, đó là lý do tại sao tôi đã cho 3 sao.. . Cuối cùng, cà phê là tuyệt vời nhưng Đậu đã kết hôn sẽ cung cấp chỗ ngồi thoải mái hơn.",1-100.000 ₫
7,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Cà phê ở đây thật tuyệt vời! Có một tách espresso + thuốc bổ (với hương thảo). . . thật độc đáo và ngon miệng Họ cũng bán một số cà phê ngon ở đây vì vậy rất đáng để ghé thăm nếu bạn là một người hâm mộ cà phê!,1-100.000 ₫
8,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"""Đậu đã kết hôn"", không phải là một nhà hàng; nó là một TRUNG TÂM SỰ KIỆN.. . Tuần trăng mật bắt đầu ở Ca phe Quan - - Quán cà phê, nơi có cà phê tuyệt vời mà họ rang và pha chế tại chỗ trong Nhà máy. Hiển thị từ Cafe 'và chỗ ngồi sự kiện.. Có một loạt cà phê Marred Bean tuyệt vời được đóng gói cho 'LỌC' hoặc Espresso tại nhà.. Một số thực phẩm có sẵn; một điểm nổi bật là lò nướng bằng củi & BBQ, được sử dụng để nấu ăn và phục vụ sự kiện.. Nếu bạn đi một lần, nó không 'đậu ở đó và làm điều đó' Bởi vì bạn thích tôi sẽ muốn quay lại để 'kết hôn lần nữa' haha.",1-100.000 ₫
9,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Quán là một trong những nơi dành cho ai muốn thưởng thức hương vị cafe sạch. Không gian hơi nhỏ và không có chỗ để xe.,1-100.000 ₫
10,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Tôi chọn Đà Lạt là điểm đến của tôi cho kỷ niệm 1 năm của tôi mặc dù tôi đã ở đây rất nhiều lần.. Thị trấn nhỏ đến mức bạn đi bộ hoặc đi vòng quanh và nhìn thấy những nơi đó một lần nữa và một lần nữa. Vì vậy, BEANS MARRIED là một trong con đường của tôi, quá. Lúc đầu, tôi đã không gây ấn tượng nhiều nhưng sau đó tên chỉ giữ xuất hiện trong đầu của tôi ""kết hôn?"". Vì vậy, tôi quyết định ghé thăm quán cà phê kỳ lạ dễ thương này. Tôi rất ấn tượng với cách trang trí của TMB. Một chiếc ghế sofa lớn, một số bàn ghế màu trắng, một chiếc bàn gỗ lớn và ghế ngoài trời. Tôi chọn cái bàn đối diện với quầy bar, ngay trước kệ. Cảm ơn quyết định đó, tôi đã tìm ra một số thông tin và thông tin thú vị về địa điểm này (trang trại có trang trại riêng) và một số tài liệu quảng cáo. . .. Các nhân viên đã được tốt đẹp. Nó ấm áp bên trong. Rất ấm cúng. Đồ uống thật hoàn hảo. Nó chỉ soooo ấm cúng và ấm áp và tuyệt vời được ở đó và tôi yêu nó quá nhiều Tôi không muốn đi.",1-100.000 ₫
11,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Nơi tốt để thư giãn vào một ngày mưa, pha cà phê ngon và đậu để lấy lại. Hãy thử cà phê đỏ mật ong của họ khi đến thăm.",1-100.000 ₫
12,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Quán cà phê nhỏ nhắn và dễ thương với cà phê rất ngon. Affogato được phục vụ với một giấc mơ của kem dừa! Caphe sua (cà phê sữa việt nam) được khuyến nghị uống ở đó:) nhân viên rất thân thiện và lịch sự. Tốt tại chỗ để đi cho một hoặc hai cà phê!,1-100.000 ₫
13,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Những người này là những chuyên gia cà phê, các nhân viên có tay nghề cao và thân thiện và tất cả các loại đồ uống có chất lượng vượt trội.",1-100.000 ₫
14,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Hơi đắt hơn nhà cà phê địa phương của bạn (30 k cho cà phê đen đá) nhưng hoàn toàn đáng giá. Không gian đáng yêu, đội ngũ nhân viên thân thiện và cà phê tuyệt vời.",1-100.000 ₫
15,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"khong gian quán khá nhỏ đem lại cảm giác ấm cúng ở đây chuyên về cà phê nhất là v60 khá ngon, bánh hơi ít được cheesecake ăn vừa miệng. phục vụ nhiệt tình dễ thương hôm mình đi được anh chủ quán tặng 1 ly cà phê v60 rất thơm.",1-100.000 ₫
16,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Quán cà phê đáng yêu với cappuccino ngon. Tôi ở lại khá lâu và có một matcha latte quá, cũng rất thú vị!",1-100.000 ₫
17,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Cà phê rang nhẹ. Họ có một số tùy chọn cho hỗn hợp và đậu gốc đơn. Đổ nước muối và bia lạnh. Bầu không khí ấm cúng với lối trang trí nghệ thuật và ghế dài.. Tôi đi bộ xung quanh thành phố và không tìm thấy bất cứ nơi nào khác tự hào hiển thị các tùy chọn đậu cà phê.. Nếu bạn thích cà phê ngon. Kiểm tra đậu kết hôn.,1-100.000 ₫
18,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Chúng tôi đến thăm hai lần và mang về nhà một ít cà phê từ quán cà phê nhỏ xinh xắn này. Các nhân viên sinh viên rất thân thiện.,1-100.000 ₫
19,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,"Viết điều này khi tôi nhâm nhi ở đây vào một buổi chiều ẩm ướt, nghe nhạc jazz chậm và được chăm sóc bởi đội ngũ nhân viên đáng yêu. Chúng tôi đang nếm thử hai loại cà phê địa phương và được chào đón nồng nhiệt để xem các nhân viên chuẩn bị chúng cho chúng tôi!. Họ cung cấp cho bạn một loại trà rõ ràng như một thức uống chào đón, và nó chỉ có vị như gạo nướng với tôi, ngon! !. Các nhân viên cho tôi thấy một cây / rễ là nó thực sự được làm từ, và sau đó bough trên một nồi trà này như một cử chỉ đáng yêu.. Rất ấm cúng, ấm cúng và tốt đẹp để thử nghiệm hương vị với một cuốn sách",1-100.000 ₫
20,https://www.google.com/maps/search/?api=1&query=The%20Married%20Beans%20-%20Showroom&query_place_id=ChIJ2xz2BSkTcTERKnyQoeI1rxE,the married beans - showroom,4.6,Một cửa hàng coffee nhỏ với không gian ấm cúng. Tất cả đều tuyệt vời❤️ Về thức uống và cả sự thân thiện của mọi người nơi đây.,1-100.000 ₫
21,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Đồ cổ ở góc phố, đạp xe đạp Cafe khác với các quán cà phê mới quanh Lat. Xe đạp phục vụ cà phê tốt nhất ở Lat và súp thịt viên tốt nhất. Các nhân viên rất hữu ích và thân thiện. Chắc chắn đề nghị.",1-100.000 ₫
22,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Yêu nơi này về cà phê, sinh tố, trà, thịt viên, sô cô la và cafe sua the. Nhiều thể loại nhạc như jazz, Beatles, fork, Châu Phi, Việt Nam. Nhân viên rất tốt, thân thiện.. Trang trí tuyệt vời với nghệ thuật, tái chế và cổ điển.",1-100.000 ₫
23,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Bạn yêu thích thành phố dalat và quán cà phê theo phong cách cổ điển cũ của nó, MotorcycleUp Cafe là sự lựa chọn tốt nhất. Quán cà phê yêu thích của tôi trong thị trấn mà tôi gọi là ngôi nhà thứ hai của mình kể từ năm 1996. Tận hưởng thời gian của bạn ở Đà Lạt và một quán cà phê như vậy.",1-100.000 ₫
24,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Nơi này có một sự rung cảm ướp lạnh tốt đẹp, nơi đáng yêu để đỗ xe và thư giãn một lúc. Tôi đã uống cà phê lắc (40 K) và bạn trai tôi đã uống cà phê nóng với sữa đặc (35 K). Cả hai đều ngon & người phụ nữ phục vụ trong nhà hàng thực sự đáng yêu và chào đón. Rất nhiều sách và trò chơi (e. G. Rubix cube) nằm xung quanh để bạn sử dụng. Trà miễn phí cuối cùng quá! Đề nghị nơi này!",1-100.000 ₫
25,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,Tình cờ thấy nơi này trong khi đi dạo ở Lat tìm bữa sáng. Cuối cùng tôi đã có sinh tố dâu tây rất ngon. Latte đá cũng thực sự ngon!. . Yêu không khí ở nơi này - siêu ấm cúng và kỳ lạ.,1-100.000 ₫
26,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Đây là một quán cà phê nhỏ đáng yêu, ấm cúng ở Đà Lạt với một sự rung cảm thực sự tuyệt vời và âm nhạc tuyệt vời. Cà phê cappuccino thật tuyệt vời và sinh tố của đối tác của tôi cũng rất tốt.",1-100.000 ₫
27,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,Wow! Những gì tôi có thể nói nơi này lil là sooo dễ thương! Chúng tôi chỉ đi uống cà phê nhanh nhưng dành 2 giờ ở đó! Sẽ khuyên bạn nên đặc biệt smoothie của dứa và gừng. Yummmmmieee! Một cửa hàng lil kỳ quặc như vậy.,1-100.000 ₫
28,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Một nơi hoàn hảo để ngồi xuống, đọc một cuốn sách, và thưởng thức một lựa chọn tuyệt vời của cà phê, trà và đồ uống. Tôi đã trải qua rất nhiều giờ ở đây chỉ để tận hưởng bầu không khí khi tôi đọc và thư giãn, nơi tuyệt vời:)",1-100.000 ₫
29,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Đây là tổng số đá quý. Một retro, thông minh chiết trung ra đó là ấm cúng và yên tĩnh. Cà phê thật đẹp, đặc biệt là đổ lên. Ngoài ra còn có một số chi tiết thực sự đáng yêu như trình đơn bằng văn bản tay và dập nổi trên đổ trên bộ lọc (xem hình ảnh) phục vụ cho bảng. Chỉ cần thực hiện rất tốt. Chúng tôi chắc chắn sẽ trở lại để sửa chữa cà phê của chúng tôi.",1-100.000 ₫
30,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Một nơi ấm áp, thân thiện, thoải mái và đáng yêu ẩn trong một con hẻm tuyệt đẹp ở thành phố Lat. Âm nhạc tuyệt vời, và trà lên là cảm động (bạn phải đặt hàng nó!). Đây là một nơi tuyệt vời để học tập và thư giãn, phong thủy tốt.",1-100.000 ₫
31,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,Dễ dàng bỏ lỡ từ đường phố nhưng một quán cà phê nhỏ ấm cúng. Đầy với nữ trang ngẫu nhiên nó thú vị chỉ để nhìn xung quanh. Cà phê rất nhỏ nhưng tốt và âm nhạc hay (không quá to). Giá trị dừng lại và lấy một ly cà phê lén lút nhưng có thể yêu cầu cappuccino của bạn thêm nóng vì tiêu chuẩn không đủ nóng.,1-100.000 ₫
32,https://www.google.com/maps/search/?api=1&query=Bicycle%20up%20cafe&query_place_id=ChIJP5o0RikTcTERuDkxx6CUmMg,bicycle up cafe,4.6,"Tôi đã bị choáng ngợp với rất nhiều thứ trong không gian nhỏ này khi tôi bước vào. Lúc đầu, nó có vẻ như một mớ hỗn độn, nhưng đã dành nhiều thời gian hơn nó thực sự giống như một nghệ thuật cài đặt những thứ cũ pha trộn với đồ cổ. Rất nhiều chi tiết để khám phá ở mỗi góc.. Rõ ràng, một trong những chủ sở hữu - một người chồng - là một kiến ​​trúc trong khi người chủ khác - một người vợ - là ông chủ bis. LOL. Rất thân thiện, cô đề nghị kiểm tra một nơi mát mẻ khác gọi là quán cà phê La Việt. Một loại cà phê khác có lẽ sẽ khiến tôi tỉnh táo cả đêm, nhưng làm sao tôi có thể chống lại một khám phá khác!",1-100.000 ₫
